REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,EDUCATION_LEVEL,Education Level,WEALTH_QUINTILE,Wealth Quintile,RESIDENCE,Residence,UNIT_MEASURE,Unit of measure,UNIT_MULTIPLIER,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation Status,DATA_SOURCE,OBS_CONF,Observation confidentaility,TIME_PERIOD_METHOD,Time period activity related to when the data are collected,COVERAGE_TIME,OBS_FOOTNOTE,FREQ_COLL,Time interval at which the source data are collected
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2016,24.791439,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,18.7439,,,DHS 2015-16,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,79.857063,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,76.226807,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2018,55.678471,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2018,70.598824,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2018,77.631859,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2018,86.269928,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2018,94.473183,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2018,69.100288,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2018,83.281387,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,77.94796,,,DHS 2017-18,,,,,,,0,Not Known
ARG,Argentina,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,65.963852,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,54.310711,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2020,36.973461,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2020,55.272339,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2020,59.89423,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2020,72.535927,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2020,85.161209,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,60.195518,,,MICS 2019-20,,,,,,,,
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,79.394547,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,68.794182,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2016,54.692249,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2016,67.56488,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2016,75.422089,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2016,86.439796,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2016,87.078506,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2016,60.690109,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2016,85.210823,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,74.582832,,,DHS 2015-16,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2017,3.4000001,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2017,3.5999999,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2017,0.30000001,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2017,0.40000001,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2017,0.80000001,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2017,2.9000001,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2017,10.3,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2017,1.4,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2017,14,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2017,3.5,,,DHS 2016-17,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,5.4404368,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,12.06018,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2018,0.57902128,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2018,1.60191,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2018,4.1994128,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2018,5.6302538,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2018,24.621429,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2018,3.643295,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2018,14.96853,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,8.4086723,,,DHS 2017-18,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2010,2.3,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2010,6.3000002,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2010,0.2,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2010,0,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2010,0.40000001,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2010,0.2,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2010,11.7,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2010,0.2,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2010,11,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2010,3.9000001,,,DHS 2010,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2019,27.299999,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2019,31.5,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2019,12.1,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2019,20.299999,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2019,27.1,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2019,32.799999,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2019,50.099998,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2019,27.5,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2019,35.299999,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2019,29.4,,,MICS 2019,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2012,92,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2012,92.300003,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2012,71.400002,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2012,90.099998,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2012,93.400002,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2012,97.199997,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2012,98.099998,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2012,89.599998,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2012,96.699997,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2012,92.199997,,,MICS 2011-12,,,,,,,0,Not Known
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,98.489067,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,97.82029,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2020,95.899857,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2020,97.265503,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2020,98.451683,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2020,97.711639,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2020,100,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2020,95.313423,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2020,98.861221,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,98.108932,,,MICS 2019,,,,,,,,
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,50.700001,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,47.5,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2016,18.4,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2016,33.700001,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2016,50,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2016,70.099998,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2016,73.900002,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2016,41,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2016,59.5,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,49.200001,,,MICS 2015-16,,,,,,,0,Not Known
